,tick,seconds,clockTime,attackerSteamID,attackerName,attackerTeam,attackerSide,attackerX,attackerY,attackerZ,attackerViewX,attackerViewY,victimSteamID,victimName,victimTeam,victimSide,victimX,victimY,victimZ,victimViewX,victimViewY,assisterSteamID,assisterName,assisterTeam,assisterSide,isSuicide,isTeamkill,isWallbang,penetratedObjects,isFirstKill,isHeadshot,victimBlinded,attackerBlinded,flashThrowerSteamID,flashThrowerName,flashThrowerTeam,flashThrowerSide,noScope,thruSmoke,distance,isTrade,playerTradedName,playerTradedTeam,playerTradedSteamID,weapon,weaponClass,roundNum,matchID,mapName
32,99488,95.828125,00:20,76561197960710576,NBK-,OGEsports,CT,1278.7451171875,2283.994140625,13.939945220947266,195.325927734375,355.396728515625,76561198116523276,flamie,Natus Vincere,T,328.2604675292969,2035.64404296875,96.44596862792969,46.417236328125,359.6044921875,,,,,False,False,False,0,False,True,False,False,,,,,False,False,985.8529728819503,False,,,,AUG,Rifle,5,OG-NaVi-BLAST2020,de_dust2
33,99702,97.5,00:18,76561198121220480,Perfecto,Natus Vincere,T,1291.222900390625,1087.390869140625,-2.6560592651367188,85.84716796875,5.7293701171875,76561197960710573,NBK-,OGEsports,CT,1369.7060546875,2310.473388671875,10.677525520324707,266.59423828125,6.448974609375,,,,,False,False,False,0,False,False,False,False,,,,,False,False,1225.6705265178439,True,flamie,Natus Vincere,7.656119811652328e+16,M4A4,Rifle,5,OG-NaVi-BLAST2020,de_dust2
34,99779,98.1015625,00:17,76561198016432560,mantuu,OGEsports,CT,1246.025634765625,3006.24853515625,128.3704376220703,270.9228515625,4.5263671875,76561198121220486,Perfecto,Natus Vincere,T,1268.123291015625,1088.880859375,-0.49115753173828125,91.16455078125,359.5001220703125,76561197960710576,NBK-,OGEsports,CT,False,False,True,2,False,False,False,False,,,,,False,False,1921.8200803530283,True,NBK-,OGEsports,7.656119796071058e+16,M4A4,Rifle,5,OG-NaVi-BLAST2020,de_dust2
35,112024,70.65625,00:45,76561198013243328,Aleksib,OGEsports,CT,-1139.8726806640625,2229.250732421875,0.15966796875,347.2943115234375,13.9801025390625,76561198146207066,Boombl4,Natus Vincere,T,-563.9144897460938,2096.632080078125,-118.60163879394531,168.101806640625,351.3922119140625,,,,,False,False,False,0,True,False,False,False,,,,,False,False,602.8430912094414,False,,,,FAMAS,Rifle,6,OG-NaVi-BLAST2020,de_dust2
36,115261,95.9453125,00:20,76561198114929872,valde,OGEsports,CT,732.9116821289062,986.8038330078125,0.11919593065977097,243.841552734375,3.9990234375,76561198116523276,flamie,Natus Vincere,T,581.9932250976562,691.9006958007812,1.0022907257080078,61.5618896484375,5.767822265625,,,,,False,False,False,0,False,False,False,False,,,,,False,False,331.2778605093606,False,,,,MP9,SMG,6,OG-NaVi-BLAST2020,de_dust2
37,115752,99.78125,00:16,76561198016432560,mantuu,OGEsports,CT,1320.432373046875,2607.96484375,88.69601440429688,190.65673828125,0.274658203125,76561198121220486,Perfecto,Natus Vincere,T,302.00433349609375,2417.48583984375,97.57159423828125,10.7171630859375,1.4501953125,,,,,False,False,False,0,False,True,False,False,,,,,False,False,1036.1258121433682,False,,,,M4A4,Rifle,6,OG-NaVi-BLAST2020,de_dust2
38,115986,101.609375,00:14,76561198044045104,electronic,Natus Vincere,T,-328.57037353515625,1746.7427978515625,-117.62462615966797,117.696533203125,0.5712890625,76561198013243326,Aleksib,OGEsports,CT,-541.5895385742188,2190.122802734375,-122.3785171508789,288.2537841796875,359.791259765625,76561198146207072,Boombl4,Natus Vincere,T,False,False,False,0,False,True,False,False,,,,,False,False,491.9203115174027,False,,,,AK-47,Rifle,6,OG-NaVi-BLAST2020,de_dust2
39,116592,106.34375,00:09,76561197960710576,NBK-,OGEsports,CT,1588.493896484375,2116.385986328125,-7.56870174407959,181.0931396484375,5.3009033203125,76561198044045107,electronic,Natus Vincere,T,-534.6065063476562,2064.875,-119.93316650390625,1.6864013671875,356.8963623046875,,,,,False,False,False,0,False,False,False,False,,,,,False,False,2126.6956705553316,True,Aleksib,OGEsports,7.656119801324333e+16,AUG,Rifle,6,OG-NaVi-BLAST2020,de_dust2
40,123423,19.7109375,01:36,76561198013243328,Aleksib,OGEsports,CT,1145.0146484375,678.4973754882812,7.48244571685791,154.6929931640625,7.2509765625,76561198146207066,Boombl4,Natus Vincere,T,685.206787109375,900.1728515625,-0.032306671142578125,335.1544189453125,2.4224853515625,,,,,False,False,False,0,True,False,False,False,,,,,False,False,510.50931189874365,False,,,,M4A4,Rifle,7,OG-NaVi-BLAST2020,de_dust2
41,123573,20.8828125,01:35,76561198116523280,flamie,Natus Vincere,T,613.8653564453125,891.441650390625,1.0106887817382812,342.79541015625,0.24169921875,76561198013243326,Aleksib,OGEsports,CT,1162.4310302734375,727.4834594726562,7.803058624267578,163.970947265625,2.0269775390625,76561198146207072,Boombl4,Natus Vincere,T,False,False,False,0,False,True,False,False,,,,,False,False,572.5842498354941,True,Boombl4,Natus Vincere,7.656119814620707e+16,AK-47,Rifle,7,OG-NaVi-BLAST2020,de_dust2
